X Y Z
6.955760731845233913e+00 -1.008541231979801367e+01 1.580828425165066164e+01
8.306434198061303675e+00 9.651528580491429921e+00 -1.542242351166750858e+01
-1.006881109889471482e+01 1.516549504039401874e+01 8.284129600299545260e+00
-5.368713610477115594e+00 -4.880989030888862601e+00 -1.863740486894622350e+01
1.680510602933873443e+01 1.054751318682720651e+01 2.517613337347328173e+00
-1.792300568244191794e+01 8.556307688205381012e+00 2.357003617288738084e+00
8.048052749375067538e-01 1.983444829009224009e+01 -2.438636811230762813e+00
1.412667389476922164e+00 -1.298160461881580829e+01 -1.514867361743094953e+01
-6.823462587177314020e+00 -9.943146204502761876e+00 1.595538159610336137e+01
4.601359329033773093e+00 9.192777615128489899e+00 1.715576672853493889e+01
-2.050707510881703222e+00 4.222082724068964565e-01 -1.989010655777199688e+01
-1.888499175890817483e+01 -5.516661289448034466e+00 3.594931777304815501e+00
-1.737050345897505466e+01 -3.320250117731551764e+00 9.340318449466234796e+00
-6.214114971733427417e+00 -1.420365364480767134e+01 -1.263491188162466905e+01
-1.169674246864521550e+01 -6.011541775703295620e+00 1.506809812488508804e+01
3.180630288932039473e+00 6.135605738271025622e+00 1.876800290893050160e+01
-1.867955043288184669e+01 -1.489634382659223544e+00 6.989662726585818220e+00
3.397402283315944072e+00 6.506230493739485254e+00 1.860447855995040101e+01
6.614350922275954447e-01 -1.399224194488665063e+01 1.427514164463962665e+01
-1.415259200021099062e+00 -6.707465823626421297e+00 1.878847901299195655e+01
-1.285530591601946249e+01 -6.130196839428446509e+00 1.404143142686729284e+01
8.680993459959367442e+00 -1.391037780289418535e+01 -1.145171349313679876e+01
1.530691375577286406e+00 -1.885132296674648344e+01 -6.502661479436695480e+00
1.121328235891199654e+01 -9.245672430981505485e+00 -1.373971761130124314e+01
-1.959315812790040523e+00 5.544669241334893250e+00 1.911590239957156001e+01
-2.391840949718169185e+00 1.722119897792190457e+01 9.884806656382957968e+00
-3.474275962839194765e-02 -5.471162852291930889e-01 1.999248500589885325e+01
-7.946590475146143362e+00 -8.427703617760042842e-01 1.833416040994592677e+01
-1.390710289413404022e+00 4.731825658602733853e+00 1.938235668920341936e+01
-2.901027230264973333e+00 -3.190148965642676249e+00 1.952964389297127212e+01
1.294485034252523370e+00 -1.737631017101292086e+00 1.988227720721405944e+01
7.237979558161543814e+00 -1.663564273767156720e+01 8.418256507151040680e+00
-6.447405392434238713e+00 -2.366888728183907720e+00 -1.878373768593476356e+01
4.083427031739357282e+00 6.879917008663104738e+00 1.833009453413616185e+01
9.144968285530119090e+00 -1.594947797796427125e+01 -7.872973217729187567e+00
1.049354988833033131e+00 1.259468352351192033e+00 1.993270161259724915e+01
1.804416233094667987e+01 8.614225710244712175e+00 4.509115072870790719e-01
4.826061881211162197e-01 -1.619038423967577955e+01 -1.173194568001596849e+01
4.180018341471258836e-01 3.879644471444966047e+00 -1.961564766307337848e+01
1.049310260067347755e+01 -1.306427578026950753e+00 -1.697610216731479582e+01
4.075601523721458230e-01 1.122371119658150285e+01 -1.654878248385449879e+01
-1.534236205173520418e+01 -1.255411451542987145e+01 -2.646910540035050108e+00
-5.027091782431858391e+00 1.339750361582788596e+00 1.931148407501725117e+01
1.040365238411714799e+01 -1.704997722014423189e+01 -1.030676410429741008e+00
9.341914308625540730e-01 2.801899594438607699e-01 1.997620534428723360e+01
-1.427931866305035991e+00 1.023397045673275496e-01 1.994869763092467352e+01
1.670816477637369246e+01 -7.166352264527544591e+00 -8.335503885563626980e+00
-8.212103312892690354e+00 1.633574014424935683e+01 -8.105859184437942844e+00
-3.101628403945431156e-01 -1.553069427142815151e+00 1.993719574982682019e+01
1.470434269800574612e+01 1.335655036086775560e+01 2.320531895322373916e+00
-5.334791024988566832e+00 -7.869832292019650843e+00 1.759561719335773233e+01
-1.254352215387218550e+01 -6.489696593371973021e-01 1.556402551901587827e+01
5.688257926246397922e+00 -4.102626294259826167e+00 -1.872998075957749009e+01
2.161819691962993506e+00 6.626014905295801505e+00 -1.874626528389692126e+01
7.153168972631256395e+00 1.706403566472630828e+01 7.592816373516088291e+00
-1.633718394960975484e+00 -2.925838730749759087e+00 1.971726228277168147e+01
-1.958619905092952251e+01 -2.263581304978339759e+00 -3.355146258081772359e+00
-3.377932528352454167e-01 9.474184946014148068e+00 1.761038657517369543e+01
-1.643867087877823652e+00 1.989833740863550204e+01 -1.163558923943711187e+00
4.449848592649350287e+00 -1.056137569304506485e+01 1.639073491253072135e+01
-1.024487689663112633e+01 1.506940693646363849e+00 -1.711057062516345439e+01
-1.119911527191502554e+00 4.686725043487528275e+00 -1.941083219591603282e+01
2.229978489762914684e+00 1.863967019837560457e+01 6.898542659937899835e+00
1.490326831084088788e+01 -1.230976662678453959e+00 -1.328071120501559577e+01
6.710883134014251183e+00 1.269832955838047184e+01 1.391820656508459386e+01
4.657563575870866668e-01 1.664924057736814333e+01 1.107184985502807706e+01
-2.912147816753482665e+00 -3.078821686844427141e+00 -1.954584999722433025e+01
1.984842890813130722e+01 2.353277695129110558e+00 7.084870983054889493e-01
-6.357700957347510951e+00 -2.918376635910974404e+00 -1.873666769593546277e+01
-1.545521330495163381e+00 -1.033904810405348096e+00 -1.991337250844279083e+01
-1.304373247435445471e+00 -5.973313056311007507e+00 -1.904253506134829621e+01
2.369605864558669062e+00 -2.164297271543347723e+00 -1.974084054357967943e+01
1.819301513921220748e+00 -4.113205641662360357e+00 1.948773155990303962e+01
1.009921188828943883e+01 2.763795139680031099e+00 1.704016888593872991e+01
6.166647313175753098e+00 -1.655096548162139136e+00 1.895344602786427401e+01
5.091649918900837513e+00 -2.295598626322180369e+00 -1.920430493535719663e+01
1.139285091572932807e+01 -1.052294093797387298e+01 -1.262816938546038514e+01
-9.607018026458685744e-01 -2.036387197892930434e+00 1.987285030453988099e+01
1.541479710134254510e+01 7.696702569624583212e+00 1.015602283766513914e+01
-1.211365755355953944e+01 -1.562557916533507907e+01 3.016716165458091403e+00
-2.590177390722766315e+00 -1.847840321033345390e+01 -7.199971936120790339e+00
-1.170706463716074097e+01 -1.142155695374476387e+01 1.151054622221313117e+01
-4.250814806226020259e+00 6.933883243747376746e+00 -1.827161286381826244e+01
5.652739248308178865e+00 -1.484046745650054788e+01 1.215759288112512948e+01
-7.944524514829385708e+00 1.194358318317590317e+01 -1.393683432418685086e+01
8.628005397780109220e+00 1.629721747043246793e+01 -7.743269695503830263e+00
-1.866508295564612752e+01 -5.311395093882721241e+00 4.837743318483009425e+00
-2.295509972001747556e+00 -1.431189517978220138e+01 1.378043142762110662e+01
4.761724671744664406e+00 -3.284858661698069060e+00 1.914512161682879565e+01
3.044422877417986006e-01 1.166387508460621092e+01 -1.624380906389067647e+01
1.031799748012977025e+00 4.437134508344721673e-01 -1.996843778700649708e+01
-3.171087487277103101e+00 5.670837658156332672e+00 -1.891522678697959847e+01
3.756218969396282414e+00 -1.948133833808623905e+01 2.523544255795564517e+00
8.238079844066643620e-01 3.380481151743988555e+00 -1.969501682120458241e+01
1.730180443445367899e+01 -2.486183582352199828e+00 -9.719385500470766104e+00
1.707141543901607506e+01 -1.006246991208160146e+01 2.704343575985862280e+00
-2.288590211494768489e+00 -4.308647365380129934e-01 1.986395505488920321e+01
-6.862189031120858651e+00 -1.318709166447371750e+01 -1.337949831398518263e+01
8.480906170966036939e+00 -8.120956749061663871e+00 -1.619025299367307724e+01
-9.842052792601728939e+00 -1.235451308815694560e+01 -1.226784427608205341e+01
-8.926697071661950034e+00 -8.859506408428302393e+00 -1.555066640339891748e+01
1.412925650432542035e+01 1.262100024613850024e+01 6.408936216093097826e+00
-5.045441918621106581e+00 1.417430247284808331e+01 -1.317697481419896022e+01
-1.326260739215028117e+01 1.268248471284953638e+01 7.953478903600521122e+00
-1.838437775517036599e+01 7.739479399834142015e+00 1.454342866981496840e+00
-1.716712609709138970e+00 1.755235489767246904e+01 9.432270954643893646e+00
-3.431738992538464927e+00 2.473452717499615705e+00 1.954751132859077956e+01
-1.843160313026934816e+01 7.540570010688141700e+00 1.848190997206682340e+00
4.013899035132752147e+00 -1.124511238176446071e+01 -1.604481417957989464e+01
-6.401707065663660323e+00 5.426066466615066197e+00 1.815422676252854117e+01
1.309092041339567736e+01 -1.462768070246073471e+01 3.828676010972758448e+00
-9.448910987714586041e-01 9.232160843507621450e+00 -1.771650041546205401e+01
1.120020446229383815e+01 1.656863121377462988e+01 1.894193885173098835e-01
1.101729361814197361e+01 2.963039771079973406e+00 1.642679629893322968e+01
-1.899979669591261811e+01 3.918116292587636273e+00 -4.863752690232845843e+00
-7.144761366231566768e+00 -6.751302707019957161e+00 -1.741758584815329058e+01
2.331889536031753085e+00 -4.092456655295065637e+00 1.943744041061674110e+01
-1.179162514567057762e+01 -1.006388264101206609e+01 1.263629069829929819e+01
7.378334152639312471e+00 1.987887998083409657e+00 1.848265366334261728e+01
8.315139936639916129e+00 -1.383534024228943515e+01 -1.180854809932966987e+01
1.783357310776782612e+01 6.718433627244657202e+00 -6.068469313278970212e+00
-1.107082656938092186e-01 3.692229847574456936e-01 1.999628510667503534e+01
4.874089686158543877e+00 1.076361406664815235e+01 -1.613653810318486137e+01
-1.599405133946896562e+01 1.644171474125384114e+00 1.189483173122274096e+01
-1.302714797694116022e+00 1.750960995121796060e+01 9.576872846189287358e+00
-1.245543909444072916e+01 -1.287055992333296750e+01 8.900040686680746660e+00
-1.936064626713725900e+01 1.309811859695932112e-01 5.014800100473214783e+00
1.254964573801978212e+01 -1.465338927971404281e+01 -5.271107518099346301e+00
-7.469268141825535778e-01 1.527352786949261798e+01 -1.289036255324447389e+01
1.429632525574037061e+01 1.315238124849641821e+01 -4.757094877788311749e+00
-5.045248309794928332e+00 1.361184174515267920e+01 1.375729747433813088e+01
-7.761582574605212947e+00 1.345784689366402720e+00 1.838332667140122467e+01
1.243092915550724342e+01 9.936999052998489290e+00 -1.211313543850092600e+01
-1.285417478828364146e+01 1.499920429009804579e+01 -3.129546480907025696e+00
5.354297831348007186e+00 9.396081675440143499e+00 1.682394555036600181e+01
3.584334804878205105e+00 -1.527003764601307623e+01 -1.240880712622620408e+01
